epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5265.01,0.75336,0.59309,1.07352,0.92958,0.75161,0.82819,0.53323,1.2069,0.63708,1.38966,0.000424187,0.000424187,0.000424187
43,5383.43,0.75643,0.58761,1.07686,0.91612,0.75541,0.83925,0.53902,1.19997,0.63682,1.37875,0.000417119,0.000417119,0.000417119
44,5501.91,0.74849,0.57648,1.06854,0.91509,0.74858,0.84224,0.55114,1.14811,0.65884,1.31977,0.00041005,0.00041005,0.00041005
45,5620.62,0.73881,0.56351,1.05995,0.9058,0.77179,0.84517,0.56237,1.13146,0.63496,1.31712,0.000402982,0.000402982,0.000402982
46,5739.04,0.74658,0.57217,1.06656,0.93241,0.74108,0.84348,0.55513,1.14285,0.65265,1.32296,0.000395913,0.000395913,0.000395913
47,5857.67,0.72562,0.56257,1.05778,0.92504,0.76146,0.84524,0.5519,1.15522,0.65044,1.33096,0.000388844,0.000388844,0.000388844
48,5976.11,0.72364,0.55583,1.05207,0.9295,0.76881,0.85036,0.56194,1.12566,0.65161,1.31773,0.000381776,0.000381776,0.000381776
49,6094.68,0.71408,0.54628,1.05148,0.89191,0.78804,0.85646,0.56898,1.07816,0.58771,1.27919,0.000374707,0.000374707,0.000374707
50,6213.09,0.71614,0.54029,1.04543,0.92666,0.78578,0.85428,0.5667,1.1271,0.6003,1.30831,0.000367639,0.000367639,0.000367639
51,6331.7,0.70371,0.52601,1.04129,0.92595,0.76933,0.8522,0.55964,1.11366,0.63655,1.30691,0.00036057,0.00036057,0.00036057
52,6450.18,0.70644,0.53498,1.04428,0.86101,0.80027,0.84709,0.55665,1.15733,0.62887,1.343,0.000353501,0.000353501,0.000353501
53,6568.79,0.70276,0.53058,1.04102,0.92055,0.79479,0.86187,0.58246,1.08796,0.57231,1.30432,0.000346433,0.000346433,0.000346433
54,6726.55,0.69339,0.52184,1.03418,0.95097,0.77621,0.86737,0.58615,1.06879,0.57602,1.27184,0.000339364,0.000339364,0.000339364
55,6859.03,0.69112,0.51993,1.03504,0.91002,0.79724,0.85894,0.58184,1.0853,0.59799,1.27843,0.000332296,0.000332296,0.000332296
56,6977.67,0.68247,0.51053,1.0297,0.89012,0.81098,0.8665,0.58818,1.07194,0.56886,1.28282,0.000325227,0.000325227,0.000325227
57,7095.99,0.67658,0.50309,1.02854,0.92047,0.79217,0.85863,0.57449,1.11326,0.59789,1.3201,0.000318158,0.000318158,0.000318158
58,7214.51,0.67117,0.50111,1.02017,0.90082,0.80919,0.86386,0.6028,1.04628,0.57811,1.2458,0.00031109,0.00031109,0.00031109
59,7333.11,0.66678,0.49921,1.02103,0.90276,0.7888,0.86035,0.58975,1.08394,0.58991,1.27785,0.000304021,0.000304021,0.000304021
60,7451.47,0.65822,0.49258,1.01531,0.92809,0.78571,0.85679,0.58958,1.06557,0.58989,1.26355,0.000296953,0.000296953,0.000296953
61,7570.17,0.65693,0.49038,1.01526,0.91904,0.79582,0.85988,0.5924,1.08087,0.58837,1.29833,0.000289884,0.000289884,0.000289884
62,7688.67,0.65702,0.48934,1.01862,0.92182,0.79872,0.86208,0.59885,1.0384,0.56041,1.25383,0.000282815,0.000282815,0.000282815
63,7807.03,0.64497,0.48237,1.00766,0.9078,0.80237,0.85509,0.59346,1.06369,0.56164,1.28262,0.000275747,0.000275747,0.000275747
64,7925.59,0.64818,0.47786,1.0077,0.91622,0.79314,0.85781,0.59509,1.06238,0.56955,1.28904,0.000268678,0.000268678,0.000268678
65,8044.13,0.63463,0.47128,1.00408,0.93429,0.78962,0.86475,0.60658,1.01193,0.54554,1.2387,0.00026161,0.00026161,0.00026161
66,8162.84,0.64115,0.47383,1.00024,0.94779,0.77171,0.86088,0.59259,1.06049,0.56681,1.26503,0.000254541,0.000254541,0.000254541
67,8281.38,0.63854,0.46904,1.0009,0.91976,0.78774,0.86851,0.60336,1.0581,0.56609,1.25008,0.000247472,0.000247472,0.000247472
68,8399.71,0.63713,0.46487,1.00083,0.94129,0.79314,0.87865,0.61263,1.05015,0.5364,1.263,0.000240404,0.000240404,0.000240404
69,8518.28,0.62689,0.46078,0.99262,0.9498,0.77796,0.8713,0.60443,1.02179,0.54993,1.24295,0.000233335,0.000233335,0.000233335
70,8637.07,0.61974,0.45006,0.99085,0.92197,0.78723,0.86161,0.60521,1.05118,0.56824,1.2804,0.000226267,0.000226267,0.000226267
71,8755.56,0.62373,0.45333,0.99527,0.91471,0.80976,0.86547,0.61101,1.01487,0.545,1.23746,0.000219198,0.000219198,0.000219198
72,8873.85,0.61864,0.45283,0.99466,0.92687,0.80797,0.87571,0.6123,1.05619,0.54064,1.2684,0.000212129,0.000212129,0.000212129
73,8992.44,0.60739,0.43714,0.98727,0.92654,0.81785,0.87612,0.59859,1.08673,0.56213,1.31272,0.000205061,0.000205061,0.000205061
74,9111.07,0.60761,0.43913,0.97892,0.9226,0.81304,0.87671,0.60738,1.06961,0.55447,1.3036,0.000197992,0.000197992,0.000197992
75,9229.75,0.60857,0.44001,0.98214,0.95098,0.80667,0.88349,0.60971,1.04456,0.55243,1.25376,0.000190924,0.000190924,0.000190924
76,9348.08,0.59778,0.43101,0.97948,0.9277,0.81001,0.87413,0.61258,1.02097,0.55203,1.24127,0.000183855,0.000183855,0.000183855
77,9466.78,0.58911,0.42579,0.97592,0.93538,0.8145,0.87781,0.60912,1.02781,0.5336,1.25296,0.000176786,0.000176786,0.000176786
78,9673.57,0.59094,0.42565,0.97771,0.91516,0.81413,0.87275,0.60595,1.03967,0.53889,1.25912,0.000169718,0.000169718,0.000169718
79,9791.95,0.58722,0.42555,0.97152,0.92064,0.8099,0.87103,0.61078,1.02403,0.52479,1.2674,0.000162649,0.000162649,0.000162649
80,9910.2,0.57761,0.41501,0.97007,0.90915,0.80833,0.87776,0.61299,1.00662,0.54374,1.23544,0.000155581,0.000155581,0.000155581
81,10028.7,0.57542,0.41686,0.96992,0.95379,0.80527,0.87707,0.61998,1.00133,0.525,1.23171,0.000148512,0.000148512,0.000148512
82,10176,0.57714,0.41472,0.96677,0.95952,0.79812,0.88175,0.61936,1.01401,0.51801,1.23476,0.000141443,0.000141443,0.000141443
83,10294.5,0.56779,0.41087,0.9641,0.94176,0.81012,0.87684,0.62123,0.99851,0.51931,1.23363,0.000134375,0.000134375,0.000134375
84,10413.4,0.57177,0.40911,0.96839,0.96389,0.79864,0.88441,0.62643,0.98429,0.5037,1.21156,0.000127306,0.000127306,0.000127306
85,10532,0.56397,0.40148,0.96365,0.94898,0.81736,0.88741,0.63128,0.95904,0.4955,1.19261,0.000120238,0.000120238,0.000120238
86,10650.7,0.56087,0.40444,0.96503,0.94054,0.81607,0.88315,0.61378,1.01777,0.51301,1.23128,0.000113169,0.000113169,0.000113169
87,10769.2,0.56249,0.40408,0.96198,0.94519,0.81363,0.88357,0.62666,0.99338,0.48787,1.21522,0.0001061,0.0001061,0.0001061
88,10887.6,0.55372,0.39365,0.95647,0.9418,0.82319,0.88699,0.62963,0.977,0.48393,1.20817,9.90318e-05,9.90318e-05,9.90318e-05
89,11006,0.54992,0.39538,0.95988,0.95073,0.81464,0.8874,0.63353,0.95415,0.48467,1.18642,9.19632e-05,9.19632e-05,9.19632e-05
