epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2953.55,0.81885,0.67035,1.08458,0.90758,0.7159,0.81084,0.49515,1.34282,0.77243,1.44893,0.000424187,0.000424187,0.000424187
43,3025.62,0.82357,0.66705,1.08509,0.92312,0.7253,0.81907,0.50324,1.30171,0.76868,1.40062,0.000417119,0.000417119,0.000417119
44,3098.44,0.81407,0.65228,1.0767,0.90548,0.74896,0.82687,0.50122,1.30874,0.73952,1.41409,0.00041005,0.00041005,0.00041005
45,3166.35,0.80992,0.64275,1.07224,0.84844,0.76507,0.80431,0.49486,1.31862,0.76512,1.42474,0.000402982,0.000402982,0.000402982
46,3239.12,0.80828,0.64757,1.07446,0.90526,0.7015,0.79687,0.49197,1.30998,0.78282,1.41685,0.000395913,0.000395913,0.000395913
47,3312.85,0.79442,0.63769,1.06962,0.86066,0.76047,0.82138,0.50705,1.31044,0.73821,1.41496,0.000388844,0.000388844,0.000388844
48,3380.93,0.79169,0.63248,1.06606,0.88627,0.75344,0.81867,0.52622,1.23339,0.75064,1.34267,0.000381776,0.000381776,0.000381776
49,3440.85,0.78447,0.61779,1.06181,0.87449,0.75581,0.82336,0.51606,1.26563,0.72761,1.35924,0.000374707,0.000374707,0.000374707
50,3501.13,0.78527,0.6208,1.05818,0.88313,0.76121,0.83072,0.53158,1.20975,0.70367,1.32252,0.000367639,0.000367639,0.000367639
51,3561.12,0.7719,0.60202,1.05386,0.90813,0.75784,0.83622,0.51051,1.29006,0.74719,1.38614,0.00036057,0.00036057,0.00036057
52,3621.25,0.78129,0.61863,1.05926,0.92257,0.7442,0.83557,0.51443,1.28139,0.7251,1.36514,0.000353501,0.000353501,0.000353501
53,3681.05,0.77409,0.6081,1.05608,0.90076,0.7506,0.83588,0.53679,1.19526,0.6885,1.33236,0.000346433,0.000346433,0.000346433
54,3741.3,0.77191,0.60012,1.05103,0.88858,0.77283,0.83764,0.52122,1.25792,0.70312,1.36958,0.000339364,0.000339364,0.000339364
55,3801.06,0.76564,0.60216,1.05182,0.88794,0.78315,0.83029,0.53358,1.20625,0.70819,1.33183,0.000332296,0.000332296,0.000332296
